approved_id,status,category,target_item,priority,source,score,title,url,thing_id,license,creator,like_count,make_count,snippet,why_matched,folder_slug,file_formats,source_file_count,printable_file_count,has_step,has_parametric_source,file_notes
f30a9010bb37,approved,Buckets / Food Storage,mason jar sprouting lid,high,thingiverse,16,Sprouting jar lid,https://www.thingiverse.com/thing:4081776,4081776,,Ciabolo,150,6,https://cdn.thingiverse.com/assets/83/93/33/91/ad/IMG_20200103_110520.jpg,target-overlap:3x4; good:jar; concise-title,sprouting_jar_lid,,,,unknown,unknown,not checked
587883460988,approved,Buckets / Food Storage,mason jar sprouting lid,high,thingiverse,12,Fruit Fly Trap Jar Lid,https://www.thingiverse.com/thing:19257,19257,,LexEnglish,1812,31,https://cdn.thingiverse.com/renders/11/2b/4d/79/f8/flytrap_display_large.jpg,target-overlap:2x4; good:jar; concise-title,fruit_fly_trap_jar_lid,,,,unknown,unknown,not checked
7e00a56a50a6,approved,Buckets / Food Storage,mason jar storage cap,medium,thingiverse,20,graduation mason jar cap,https://www.thingiverse.com/thing:864209,864209,,pjacq,404,4,https://cdn.thingiverse.com/assets/e9/7c/2b/24/9c/graduation-mason-jar-money-gift.jpg,target-overlap:3x4; good:cap; good:jar; good:mason; concise-title,graduation_mason_jar_cap,,,,unknown,unknown,not checked
6fbd39c2c3d5,approved,Buckets / Food Storage,mason jar storage cap,medium,thingiverse,14,Mason Jar Lid Keeper,https://www.thingiverse.com/thing:4356934,4356934,,GeoffRE,841,7,https://cdn.thingiverse.com/assets/51/44/7e/70/22/IMG_1289.jpeg,target-overlap:2x4; good:jar; good:mason; concise-title,mason_jar_lid_keeper,,,,unknown,unknown,not checked
2fbe1b17ca99,approved,Buckets / Food Storage,mason jar storage cap,medium,thingiverse,8,Canning Jar Lids,https://www.thingiverse.com/thing:19105,19105,,LexEnglish,1132,11,https://cdn.thingiverse.com/renders/32/a8/2b/79/51/jar_lids_display_large.jpg,target-overlap:1x4; good:jar; concise-title,canning_jar_lids,,,,unknown,unknown,not checked
2d85962520c0,approved,Comms,ESP32 case,high,thingiverse,14,Esp32 wroom case,https://www.thingiverse.com/thing:4667813,4667813,,guillermohor,312,7,https://cdn.thingiverse.com/assets/4f/07/b1/d6/71/esp32_wroom_case.jpg,target-overlap:2x4; good:case; good:esp32; concise-title,esp32_wroom_case,,,,unknown,unknown,not checked
f810d6b6c1b2,approved,Comms,ESP32 case,high,thingiverse,14,ESP32 DevKit Case,https://www.thingiverse.com/thing:4125952,4125952,,bkgoodman,1386,9,https://cdn.thingiverse.com/assets/4b/17/e4/ed/5c/IMG_9870.jpg,target-overlap:2x4; good:case; good:esp32; concise-title,esp32_devkit_case,,,,unknown,unknown,not checked
0d032c3fb8a9,approved,Comms,ESP32 case,high,thingiverse,14,ESP32 devkit case,https://www.thingiverse.com/thing:4564452,4564452,,MikanteSE,263,3,https://cdn.thingiverse.com/assets/ff/47/67/ad/4f/IMG_3291.jpg,target-overlap:2x4; good:case; good:esp32; concise-title,esp32_devkit_case,,,,unknown,unknown,not checked
8e01bbb32bb3,approved,Comms,ESP32 case,high,thingiverse,14,ESP32-CAM case,https://www.thingiverse.com/thing:3463679,3463679,,mojocorp,691,6,https://cdn.thingiverse.com/assets/92/ce/6b/7d/fd/IMG_0750.JPG,target-overlap:2x4; good:case; good:esp32; concise-title,esp32_cam_case,,,,unknown,unknown,not checked
5fb665497817,approved,Comms,ESP32 case,high,thingiverse,14,esp32-case,https://www.thingiverse.com/thing:3195951,3195951,,bdmihai,836,5,https://cdn.thingiverse.com/assets/1d/0c/67/46/62/case_2.PNG,target-overlap:2x4; good:case; good:esp32; concise-title,esp32_case,,,,unknown,unknown,not checked
